dataset,multiclass,smoke,n_full,n_used,subsampled,split_type,seed,k,model,accuracy,auroc,f1,n_train,n_test,pos_frac_train,pos_frac_test,target_test_frac
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,1,4,LR,0.816673330667733,0.8888696083411838,0.8230754389349797,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,1,4,RF,0.8144742103158736,0.8992749010287594,0.8228331424207713,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,1,6,LR,0.8338664534186325,0.9077340399358684,0.8419851682829436,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,1,6,RF,0.824470211915234,0.9223716813760059,0.840826686004351,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,2,4,LR,0.8150739704118353,0.8958114111089145,0.8207016863733282,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,2,4,RF,0.8276689324270292,0.8993008411528307,0.8325563325563325,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,2,6,LR,0.8278688524590164,0.9070431625941477,0.8373323257132061,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.7,2,6,RF,0.8386645341863255,0.9249693995151291,0.8523330283623056,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,0,4,LR,0.8194722111155538,0.8885863615205811,0.8242164687560833,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,0,4,RF,0.8474610155937625,0.9436506390534851,0.8483402902007553,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,0,6,LR,0.8534586165533786,0.9235027352330205,0.8568079703067005,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,0,6,RF,0.8842463014794082,0.9711178469503678,0.8876818622696411,14998,5002,0.544072543005734,0.5439824070371851,0.25005
human_nontata_promoters,False,False,36131,20000,True,homology@0.9,1,4,LR,0.8217782217782218,0.896113512918592,0.8262563303467082,14995,5005,0.5441813937979326,0.5436563436563436,0.25005
