dataset,scale,n_used,split_type,seed,k,model,accuracy,auroc,f1
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,1,6,RF,0.8416,0.92726064,0.8448883666274971
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,1,6,HGB,0.876,0.94928064,0.8775671406003159
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,2,6,LR,0.8988,0.9627048,0.8995234312946783
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,2,6,LinearSVC,0.8882,0.95703088,0.8891093037095814
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,2,6,RF,0.8498,0.9323682400000001,0.8534634146341463
demo_coding_vs_intergenomic_seqs,subsample,20000,homology@0.7,2,6,HGB,0.8844,0.9537633600000001,0.8854084060269627
drosophila_enhancers_stark,subsample,6914,original,-1,4,LR,0.7005780346820809,0.7614287146246117,0.7144432194046306
drosophila_enhancers_stark,subsample,6914,original,-1,4,LinearSVC,0.6947976878612717,0.7590898459687927,0.705685618729097
drosophila_enhancers_stark,subsample,6914,original,-1,4,RF,0.6815028901734104,0.7546252798289284,0.7000544365813827
drosophila_enhancers_stark,subsample,6914,original,-1,4,HGB,0.6890173410404624,0.7511443750208827,0.7011111111111111
drosophila_enhancers_stark,subsample,6914,random,0,4,LR,0.684393063583815,0.7276808446657088,0.7022900763358778
drosophila_enhancers_stark,subsample,6914,random,0,4,LinearSVC,0.6757225433526012,0.7297363760900798,0.6915887850467289
drosophila_enhancers_stark,subsample,6914,random,0,4,RF,0.6745664739884393,0.7306665775669083,0.6941879413362303
drosophila_enhancers_stark,subsample,6914,random,0,4,HGB,0.6635838150289017,0.7361796251127668,0.6788079470198676
drosophila_enhancers_stark,subsample,6914,random,1,4,LR,0.6791907514450867,0.7277931103611881,0.6985334057577404
drosophila_enhancers_stark,subsample,6914,random,1,4,LinearSVC,0.6838150289017341,0.7277196030605767,0.7002739726027397
drosophila_enhancers_stark,subsample,6914,random,1,4,RF,0.6705202312138728,0.7261538975575529,0.6938775510204082
drosophila_enhancers_stark,subsample,6914,random,1,4,HGB,0.684971098265896,0.7375401784222662,0.706199460916442
